author,year,obs,study,group,study_type,class,subclass,order,suborder,family,genus,species,other,sex,polymorphic_plastic,tox_note,tox_measure,col_var,source,n,r,note
Briolat et al.,2018b,obs123,s021,g042,among_species,insecta,pterygota,lepidoptera,ditrysia,Zygaenidae,Zygaena,Zygaena_transalpina,NA,both,0,cyanogenic_glucoside concentration,physiological,hue,raw_data,5,0.4,
Briolat et al.,2018b,obs124,s021,g042,among_species,insecta,pterygota,lepidoptera,ditrysia,Zygaenidae,Zygaena,Zygaena_transalpina,NA,both,0,cyanogenic_glucoside concentration,physiological,external_contrast,raw_data,5,0.42,
Briolat et al.,2018b,obs125,s021,g042,among_species,insecta,pterygota,lepidoptera,ditrysia,Zygaenidae,Zygaena,Zygaena_transalpina,NA,both,0,cyanogenic_glucoside concentration,physiological,external_contrast,raw_data,5,0.86,
Wheeler et al.,2015,obs126,s022,g043,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Hippodamia,Hippodamia_convergens,NA,female,0,alkaloid quantity,physiological,hue,fig_4,8,0.83,
Wheeler et al.,2015,obs127,s022,g043,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Hippodamia,Hippodamia_convergens,NA,male,0,alkaloid quantity,physiological,hue,fig_4,8,0.76,
Reudler et al.,2015,obs128,s023,g044,among_individuals,insecta,pterygota,lepidoptera,NA,erebidae,Parasemia,Parasemia_plantaginis,NA,both,1,catapol quantity,physiological,area,text,27,-0.517,
Chouteau et al.,2019,2019,s024,g045,among_species,insecta,pterygota,lepidoptera,NA,Nymphalidae,Heliconius,NA,NA,both,0,alkaloid quantity,physiological,external_contrast,modelled,8,0.52,
Chouteau et al.,2019,2019,s024,g045,among_species,insecta,pterygota,lepidoptera,NA,Nymphalidae,Heliconius,NA,NA,both,0,chicken_feeding,bioassay,external_contrast,modelled,8,0.65,
Chouteau et al.,2019,2019,s024,g045,among_species,insecta,pterygota,lepidoptera,NA,Nymphalidae,Heliconius,NA,NA,both,0,alkaloid quantity,physiological,external_contrast,modelled,8,0.4,
Chouteau et al.,2019,2019,s024,g045,among_species,insecta,pterygota,lepidoptera,NA,Nymphalidae,Heliconius,NA,NA,both,0,chicken_feeding,bioassay,external_contrast,modelled,8,0.49,
